pc,S
0.003590884,1.558
0.004804389,2.862
0.005937344,4.359
0.007145819,5.953
0.00837563,7.403
0.009688039,9.064
0.010769931,10.928
0.01197264,12.97
0.013134689,14.691
0.014409526,16.382
0.015808096,18.268
0.016889438,20.373
0.018528706,22.366
0.020327079,24.941
0.022898083,29.602
0.025455177,33.527
0.027196421,36.241
0.030636271,41.691
0.035908843,49.475
0.042088838,60.574
0.050655511,73.008
0.056312358,81.409
0.061777965,90.781
0.071458186,102.805
0.080496339,114.63
0.094349944,127.797
0.110587786,144.719
0.133096591,161.328
0.166674086,185.522
0.195359079,197.37
0.238254162,200.34
