pc,S
0.002407283,0.732
0.003615521,1.643
0.004825353,2.922
0.006031531,4.448
0.00715511,5.705
0.008377476,7.093
0.009555753,8.033
0.010754953,9.682
0.011948101,10.965
0.013274209,12.227
0.014556127,13.012
0.015544029,14.509
0.017270015,15.929
0.020223998,18.61
0.023373837,21.407
0.029237367,25.403
0.035620871,29.679
0.043396176,35.218
0.049499768,39.886
0.056471889,42.447
0.065270161,48.073
0.073490725,50.37
0.089552199,55.299
0.103527428,57.941
0.121278722,59.772
0.145873068,61.661
0.177785478,63.61
0.213838938,65.621
0.231446907,66.65
