pc,S
0.002785629,0.796
0.004157538,1.663
0.005551881,2.851
0.006935192,4.014
0.008286157,5.292
0.009790772,6.362
0.011065143,7.451
0.012786715,8.498
0.013822143,9.822
0.015448438,10.769
0.0168862,11.808
0.018253592,12.611
0.019731712,13.469
0.021329525,14.964
0.024375426,16.625
0.027243405,18.715
0.032550381,21.068
0.037198642,24.349
0.042510685,26.698
0.049674208,30.452
0.059350671,34.281
0.064156706,37.097
0.074967825,40.144
0.093646871,45.191
0.10942741,48.903
0.133684988,53.621
0.168861995,55.78
0.206294875,58.026
0.257695477,60.362
0.272434049,61.162
